timestamp,code,message
1463126523664255823,1,Switched on
1463126523667553480,200000,DeviceId:359501066130794
1463126523669309469,200001,SimSerialNumber:null
1463126523670497282,200002,PhoneType:1
1463126523670624938,200003,AndroidId:8ac4c8fdaeb81f5c
1463126523670709001,200003,Application:eu.fbk.mpba.physiorec.exls3x3
1463126544143454774,100,Mark Start
1463126554186612635,100,Mark Stop
1463126574171366794,100,Mark Start
1463126579167992521,100,Mark Stop
1463126614233517716,100,Mark Start
1463126619119627037,100,Mark Stop
1463126634460647656,100,Mark Start
1463126644185619371,100,Mark Stop
1463126669269113476,100,Mark Start
1463126676288108161,100,Mark Stop
1463126711454268825,100,Mark Start
1463126717389492729,100,Mark Stop
1463126737460377148,100,Mark Start
1463126746311790947,100,Mark Stop
1463126761538101254,100,Mark Start
1463126764464615055,100,Mark Stop
1463126804286441706,100,Mark Start
1463126814602008160,100,Mark Stop
1463126831328196539,100,Mark Start
1463126839551826901,100,Mark Stop
1463126874755540012,100,Mark Start
1463126884492954696,100,Mark Stop
1463126914510412445,100,Mark Start
1463126924448516660,100,Mark Stop
1463126959775535032,100,Mark Start
1463126971564117632,100,Mark Stop
1463126997082243091,100,Mark Start
1463127004591434025,100,Mark Stop
1463127024977078289,100,Mark Start
1463127036943517555,100,Mark Stop
1463127061751497024,100,Mark Start
1463127069786504678,100,Mark Stop
1463127090502001493,100,Mark Start
1463127094034504773,100,Mark Stop
1463127118949269034,100,Mark Start
1463127125105663459,100,Mark Stop
1463127126860785177,2,Switched off
