timestamp,code,message
1463127772320739410,1,Switched on
1463127772324301910,200000,DeviceId:359501066130794
1463127772325789826,200001,SimSerialNumber:null
1463127772326876753,200002,PhoneType:1
1463127772326971858,200003,AndroidId:8ac4c8fdaeb81f5c
1463127772327040243,200003,Application:eu.fbk.mpba.physiorec.exls3x3
1463127812972109811,100,Mark Start
1463127819816380642,100,Mark Stop
1463127840095528238,100,Mark Start
1463127847869253756,100,Mark Stop
1463127883289726451,100,Mark Start
1463127892829955405,100,Mark Stop
1463127913165801700,100,Mark Start
1463127925045154039,100,Mark Stop
1463127950202111946,100,Mark Start
1463127958163713922,100,Mark Stop
1463127978108248758,100,Mark Start
1463127982315955059,100,Mark Stop
1463128007286435049,100,Mark Start
1463128012965286245,100,Mark Stop
1463128038393637746,100,Mark Start
1463128045358446181,100,Mark Stop
1463128080400002782,100,Mark Start
1463128086319324915,100,Mark Stop
1463128106250493866,100,Mark Start
1463128115814056622,100,Mark Stop
1463128130551698492,100,Mark Start
1463128133402419116,100,Mark Stop
1463128153547461712,100,Mark Start
1463128163560736760,100,Mark Stop
1463128183525109565,100,Mark Start
1463128188735982636,100,Mark Stop
1463128223572279133,100,Mark Start
1463128228793586892,100,Mark Stop
1463128243728519438,100,Mark Start
1463128253496967872,100,Mark Stop
1463128283497719892,100,Mark Start
1463128293691556034,100,Mark Stop
1463128329325516489,100,Mark Start
1463128340800531380,100,Mark Stop
1463128365021929600,100,Mark Start
1463128372857927306,100,Mark Stop
1463128374590727149,2,Switched off
